developerCountry,countryCode,userRatingCount,primaryGenreName,downloads,deviceType,hasPrivacyLink,hasTermsOfServiceLink,hasTermsOfServiceLinkRating,isCorporateEmailScore,adSpent,appAge,averageUserRating,appContentBrandSafetyRating,appDescriptionBrandSafetyRating,mfaRating,coppaRisk
UNITED STATES,GLOBAL,56,Education,100 - 500,GLOBAL,True,True,low,0.0,0.0070385250412768,95.06666666666666,4.0,medium,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,11,Personalization,10000 - 50000,GLOBAL,True,False,high,0.0,0.0070385250412768,18.366666666666667,1.0,medium,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,14,Games,1000 - 5000,GLOBAL,True,False,high,0.0,0.0070385250412768,133.23333333333332,4.0,medium,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,31,Games,100 - 500,GLOBAL,True,False,high,0.0,0.0070385250412768,136.4,4.0,low,low,low,True
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,News & Magazines,50 - 100,GLOBAL,True,False,high,0.0,0.0070385250412768,53.23333333333333,4.0,medium,low,low,False
PAKISTAN,GLOBAL,138,Entertainment,10000 - 50000,GLOBAL,True,False,high,0.0,0.0070385250412768,99.43333333333332,4.0,medium,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,20,Education,100 - 500,GLOBAL,True,False,high,99.0,0.0070385250412768,17.633333333333333,5.0,medium,low,low,True
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Education,100 - 500,GLOBAL,True,False,high,0.0,0.0070385250412768,41.4,0.0,medium,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Entertainment,50 - 100,GLOBAL,True,False,high,99.0,0.0070385250412768,74.36666666666666,4.0,medium,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,7,Personalization,50 - 100,GLOBAL,True,False,high,0.0,0.0070385250412768,25.3,5.0,medium,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,10,Lifestyle,500 - 1000,GLOBAL,True,True,low,99.0,0.0070385250412768,109.33333333333331,2.0,medium,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Shopping,10 - 50,GLOBAL,True,False,high,0.0,0.0070385250412768,67.5,4.0,medium,medium,low,False
OMAN,GLOBAL,7,News & Magazines,1000 - 5000,GLOBAL,True,False,high,0.0,0.0070385250412768,58.333333333333336,4.0,medium,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,94,Games,10000 - 50000,GLOBAL,True,False,high,0.0,0.0070385250412768,38.23333333333333,2.0,medium,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,24,Music & Audio,500 - 1000,GLOBAL,True,False,high,0.0,0.0070385250412768,44.633333333333326,4.0,medium,low,low,False
CANNOT IDENTIFY COUNTRY,GLOBAL,0,Games,500 - 1000,GLOBAL,True,False,high,99.0,0.0070385250412768,15.3,4.0,medium,low,low,False
FRANCE,HR,7015,Games,1000000 - 5000000,GLOBAL,True,True,low,99.0,3.18979179849187,59.833333333333336,4.0,medium,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,6,Health & Fitness,1000 - 5000,GLOBAL,True,True,low,99.0,0.0070385250412768,39.6,4.0,medium,high,low,False
CANNOT IDENTIFY COUNTRY,GLOBAL,0,Personalization,100 - 500,GLOBAL,True,False,high,0.0,0.0070385250412768,43.7,4.0,medium,low,low,False
INDIA,GLOBAL,931,Games,100 - 500,GLOBAL,True,False,high,0.0,0.0070385250412768,46.53333333333333,4.0,medium,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Shopping,1 - 5,GLOBAL,True,False,high,0.0,0.0070385250412768,20.366666666666667,4.0,medium,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,RU,9,Entertainment,100 - 500,smartphone,True,True,low,0.0,25.00067438460993,99.53333333333332,4.0,low,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,17,Education,100 - 500,GLOBAL,True,True,low,99.0,0.0070385250412768,83.86666666666666,4.0,medium,medium,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,231,Business,10000 - 50000,GLOBAL,True,False,high,99.0,0.0070385250412768,68.5,2.0,medium,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,News & Magazines,10 - 50,GLOBAL,False,False,high,99.0,0.0070385250412768,62.86666666666667,4.0,medium,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Utilities,100 - 500,GLOBAL,True,False,high,0.0,0.0070385250412768,86.66666666666667,0.0,medium,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Games,100 - 500,smartphone,True,False,high,0.0,18.096251196704763,7.233333333333332,0.0,medium,high,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Shopping,100 - 500,GLOBAL,True,False,high,0.0,0.0070385250412768,30.666666666666668,0.0,medium,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Games,1 - 5,GLOBAL,True,False,high,0.0,0.0070385250412768,53.03333333333333,4.0,medium,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,2283,Lifestyle,100 - 500,GLOBAL,True,False,high,0.0,0.0070385250412768,29.766666666666666,3.0,medium,high,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Food & Drink,1 - 5,GLOBAL,True,False,high,0.0,0.0070385250412768,16.5,4.0,medium,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Maps & Navigation,100 - 500,GLOBAL,True,False,high,0.0,0.0070385250412768,71.5,0.0,medium,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Health & Fitness,100 - 500,GLOBAL,True,False,high,0.0,0.0070385250412768,4.1,0.0,medium,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,6,Business,100 - 500,GLOBAL,True,False,high,0.0,0.0070385250412768,50.5,5.0,medium,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Games,100 - 500,GLOBAL,True,False,high,99.0,0.0070385250412768,35.333333333333336,4.0,medium,low,low,False
CANNOT IDENTIFY COUNTRY,GLOBAL,0,Communication,100 - 500,GLOBAL,True,False,high,99.0,0.0070385250412768,46.86666666666667,0.0,medium,low,low,False
CHINA,APAC,1510,Games,100000 - 500000,smartphone,True,False,high,0.0,2.850855013756148,18.4,3.0,medium,low,low,True
NETHERLANDS,GLOBAL,0,Travel & Local,100 - 500,GLOBAL,True,False,high,99.0,0.0070385250412768,121.36666666666666,3.0,medium,low,low,False
INDIA,GLOBAL,0,Business,100 - 500,GLOBAL,True,True,low,0.0,0.0070385250412768,78.26666666666665,0.0,medium,low,low,False
CHINA,ES,1016,Entertainment,100 - 500,smartphone,True,False,high,0.0,0.7879453322750891,53.766666666666666,4.0,medium,medium,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Social,10 - 50,GLOBAL,True,False,high,99.0,0.0070385250412768,56.73333333333333,4.0,medium,low,low,False
FRANCE,GLOBAL,1122,Games,50000 - 100000,GLOBAL,True,True,low,99.0,93.79861252694064,25.966666666666665,4.0,medium,low,low,False
RUSSIAN FEDERATION,GLOBAL,0,Games,100 - 500,GLOBAL,True,False,high,0.0,0.0070385250412768,52.833333333333336,4.0,medium,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,448,Games,100 - 500,GLOBAL,True,False,high,0.0,0.4054683544303797,45.0,2.0,medium,medium,low,False
INDONESIA,GLOBAL,223,Health & Fitness,1000 - 5000,GLOBAL,True,False,high,99.0,0.0070385250412768,30.2,4.0,medium,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,DE,0,News & Magazines,1000 - 5000,connected-tv/ott,True,True,low,99.0,4.324914557580602,58.23333333333333,4.0,medium,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Shopping,10 - 50,GLOBAL,True,False,high,99.0,0.0070385250412768,52.86666666666667,4.0,medium,low,low,False
ITALY,GLOBAL,0,Education,100 - 500,GLOBAL,True,False,high,0.0,0.0070385250412768,47.1,0.0,medium,low,low,True
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,12,Productivity,10 - 50,GLOBAL,True,False,high,0.0,0.0070385250412768,53.43333333333333,5.0,medium,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Games,100 - 500,GLOBAL,True,False,high,99.0,0.0070385250412768,21.1,0.0,medium,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,LATAM,6135,Beauty,1000000 - 5000000,GLOBAL,True,False,high,0.0,2.5098935930693065,72.93333333333332,4.0,medium,low,low,False
CHINA,GLOBAL,0,Games,100 - 500,GLOBAL,True,False,high,0.0,0.0070385250412768,29.866666666666667,4.0,medium,medium,low,False
CANNOT IDENTIFY COUNTRY,GLOBAL,14166,Games,100000 - 500000,tablet,True,True,low,99.0,0.0884071584460934,41.2,4.0,medium,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,13,Shopping,100 - 500,GLOBAL,True,False,high,99.0,0.0070385250412768,75.4,3.0,medium,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,LATAM,26,Tools,10000 - 50000,smartphone,True,False,high,0.0,475.3723271002567,3.4333333333333327,4.0,medium,low,low,False
PAKISTAN,ID,933,Games,100000 - 500000,smartphone,True,False,high,0.0,4.385047380047219,14.8,4.0,medium,low,low,True
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Food & Drink,10 - 50,GLOBAL,True,True,low,99.0,0.0070385250412768,8.566666666666666,0.0,medium,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,1,Utilities,100 - 500,GLOBAL,True,False,high,0.0,0.0070385250412768,52.86666666666667,5.0,medium,low,low,False
UZBEKISTAN,GLOBAL,1077,Lifestyle,50000 - 100000,GLOBAL,True,False,high,0.0,0.0070385250412768,29.2,4.0,medium,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,1,Reference,100 - 500,GLOBAL,True,False,high,0.0,0.0070385250412768,69.66666666666667,1.0,medium,low,low,False
UNITED KINGDOM,GLOBAL,0,Business,100 - 500,GLOBAL,True,False,high,99.0,0.0070385250412768,27.9,0.0,medium,low,low,False
CANNOT IDENTIFY COUNTRY,GLOBAL,0,Games,50 - 100,GLOBAL,True,False,high,99.0,0.0070385250412768,58.133333333333326,4.0,medium,low,low,False
CANNOT IDENTIFY COUNTRY,GLOBAL,0,Entertainment,1 - 5,GLOBAL,True,False,high,0.0,0.0070385250412768,66.36666666666666,4.0,medium,medium,low,False
CANADA,GLOBAL,0,Tools,10 - 50,GLOBAL,True,False,high,0.0,0.0070385250412768,16.4,0.0,medium,low,low,False
CANNOT IDENTIFY COUNTRY,GLOBAL,2,Sports,100 - 500,GLOBAL,True,False,high,99.0,0.0070385250412768,59.7,1.0,medium,low,low,False
NEW ZEALAND,ES,36520,Games,1000000 - 5000000,GLOBAL,True,False,high,0.0,0.0689280597289588,61.3,4.0,low,low,low,True
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Lifestyle,10 - 50,GLOBAL,True,False,high,0.0,0.0070385250412768,71.46666666666667,0.0,medium,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Education,5 - 10,GLOBAL,True,False,high,0.0,0.0070385250412768,33.4,4.0,medium,low,low,True
UNITED STATES,GLOBAL,90,Business,10000 - 50000,GLOBAL,True,False,high,99.0,0.0070385250412768,102.33333333333331,4.0,medium,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Business,100 - 500,GLOBAL,True,False,high,99.0,0.0070385250412768,66.5,0.0,medium,high,low,False
SRI LANKA,GLOBAL,0,Tools,50 - 100,GLOBAL,True,False,high,99.0,0.0070385250412768,52.2,4.0,medium,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,69,Finance,1000 - 5000,GLOBAL,True,False,high,99.0,0.0070385250412768,38.9,4.0,medium,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,20,Games,1000 - 5000,GLOBAL,True,False,high,0.0,0.0070385250412768,110.43333333333334,3.0,medium,low,low,True
CHINA,GLOBAL,10,Photography,500 - 1000,GLOBAL,True,False,high,0.0,0.0070385250412768,148.26666666666668,3.0,medium,low,low,False
AUSTRALIA,GLOBAL,0,Food & Drink,100 - 500,GLOBAL,True,False,high,99.0,0.0070385250412768,36.266666666666666,0.0,medium,low,low,False
REPUBLIC OF KOREA,GLOBAL,0,Books & Reference,10 - 50,GLOBAL,True,False,high,99.0,0.0070385250412768,80.53333333333333,5.0,medium,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Education,10000 - 50000,GLOBAL,True,False,high,99.0,0.0070385250412768,59.93333333333333,3.0,medium,low,low,True
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Productivity,0 - 1,GLOBAL,True,False,high,99.0,0.0070385250412768,46.766666666666666,4.0,medium,low,low,False
CANNOT IDENTIFY COUNTRY,GLOBAL,0,Productivity,5 - 10,GLOBAL,True,False,high,99.0,0.0070385250412768,41.9,0.0,medium,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Art & Design,50 - 100,GLOBAL,True,False,high,0.0,0.0070385250412768,41.03333333333333,0.0,medium,low,low,False
COTE D'IVOIRE,GLOBAL,98,Maps & Navigation,10000 - 50000,GLOBAL,True,False,high,0.0,0.0070385250412768,73.16666666666667,4.0,medium,low,low,False
UNITED KINGDOM,ZM,125230,Games,10000000 - 50000000,GLOBAL,True,True,low,99.0,0.1459428810888145,55.86666666666667,3.0,medium,high,low,False
UNITED STATES,GLOBAL,2129,Business,100 - 500,GLOBAL,True,True,low,99.0,0.0070385250412768,78.4,4.0,medium,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,7,Entertainment,100 - 500,GLOBAL,True,False,high,0.0,0.0070385250412768,28.0,5.0,medium,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Productivity,100 - 500,GLOBAL,True,True,low,99.0,0.0070385250412768,78.13333333333334,0.0,medium,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Music & Audio,500 - 1000,GLOBAL,True,True,low,0.0,0.0070385250412768,39.53333333333333,4.0,medium,medium,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Books & Reference,100 - 500,GLOBAL,True,False,high,0.0,0.0070385250412768,48.56666666666667,4.0,medium,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,4,Utilities,100 - 500,GLOBAL,True,False,high,0.0,0.0070385250412768,37.766666666666666,4.0,medium,high,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Productivity,1 - 5,GLOBAL,True,False,high,99.0,0.0070385250412768,17.433333333333334,0.0,medium,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,8,Tools,500 - 1000,GLOBAL,True,False,high,0.0,0.0070385250412768,42.833333333333336,4.0,medium,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Books & Reference,0 - 1,GLOBAL,True,False,high,0.0,0.0070385250412768,13.9,4.0,medium,low,low,False
INDIA,GLOBAL,0,Finance,10 - 50,GLOBAL,True,False,high,0.0,0.0070385250412768,72.6,0.0,medium,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,1289,Games,500000 - 1000000,smartphone,True,False,high,0.0,0.0070385250412768,70.2,3.0,medium,medium,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,130,Entertainment,5000 - 10000,GLOBAL,True,False,high,0.0,0.0070385250412768,65.93333333333334,4.0,medium,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,23,Comics,500 - 1000,GLOBAL,True,False,high,0.0,0.0070385250412768,123.06666666666666,4.0,medium,low,low,False
RUSSIAN FEDERATION,GLOBAL,0,Business,10 - 50,GLOBAL,True,False,high,99.0,0.0070385250412768,24.23333333333333,4.0,medium,low,low,False
CANNOT IDENTIFY COUNTRY,GLOBAL,0,Education,5 - 10,GLOBAL,True,False,high,0.0,0.0070385250412768,33.333333333333336,4.0,medium,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,ID,24256,Games,1000000 - 5000000,GLOBAL,True,False,high,99.0,13014.067335962774,3.6666666666666665,4.0,medium,medium,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Music & Audio,100 - 500,GLOBAL,True,False,high,0.0,0.0070385250412768,79.46666666666667,0.0,medium,medium,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,11883,Education,1000000 - 5000000,tablet,True,False,high,0.0,0.2084127150731364,67.6,4.0,low,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Games,5 - 10,smartphone,True,False,high,0.0,0.0070385250412768,21.73333333333333,4.0,medium,low,low,True
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,6,Music & Audio,10 - 50,GLOBAL,True,False,high,0.0,0.0070385250412768,22.066666666666663,5.0,medium,medium,low,False
CANNOT IDENTIFY COUNTRY,GLOBAL,0,Entertainment,100 - 500,GLOBAL,True,False,high,99.0,0.0070385250412768,74.96666666666667,0.0,medium,high,low,False
IRELAND,PH,102037,Entertainment,100 - 500,smartphone,True,False,high,99.0,0.4321224341193576,104.4,4.0,medium,high,low,True
ADDRESS NOT LISTED IN PLAYSTORE,BG,83,Games,500000 - 1000000,GLOBAL,True,True,low,99.0,0.8962006165113404,1.8333333333333333,3.0,medium,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,1,Utilities,100 - 500,GLOBAL,True,False,high,0.0,0.0070385250412768,26.7,5.0,medium,low,low,False
KAZAKHSTAN,KG,281,Games,100000 - 500000,smartphone,True,False,high,99.0,26.345670210683885,9.23333333333333,4.0,medium,medium,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Tools,10 - 50,GLOBAL,True,False,high,0.0,0.0070385250412768,84.96666666666667,0.0,medium,low,low,False
UNITED STATES,GLOBAL,25,Medical,10000 - 50000,GLOBAL,True,False,high,99.0,0.0070385250412768,26.666666666666668,3.0,medium,medium,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Music & Audio,5 - 10,GLOBAL,True,False,high,0.0,0.0070385250412768,78.6,0.0,medium,medium,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Tools,10 - 50,GLOBAL,True,False,high,0.0,0.0070385250412768,32.4,4.0,medium,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Lifestyle,100 - 500,GLOBAL,True,True,low,99.0,0.0070385250412768,65.4,4.0,medium,low,low,False
FRANCE,GLOBAL,95,Tools,10000 - 50000,GLOBAL,True,True,low,99.0,0.0070385250412768,152.76666666666668,4.0,medium,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Stickers,100 - 500,GLOBAL,True,False,high,0.0,0.0070385250412768,64.5,0.0,medium,medium,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Social,10 - 50,GLOBAL,True,False,high,0.0,0.0070385250412768,79.36666666666666,0.0,medium,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Personalization,10 - 50,GLOBAL,True,False,high,0.0,0.0070385250412768,55.46666666666666,4.0,medium,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Games,100 - 500,GLOBAL,True,False,high,0.0,0.0070385250412768,57.1,0.0,medium,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,1843,Tools,100000 - 500000,connected-tv/ott,True,True,low,0.0,1.0633643038312166,8.0,4.0,medium,medium,low,False
HONG KONG,IT,5046,Games,500000 - 1000000,GLOBAL,True,False,high,0.0,3.712007352824412,70.9,3.0,medium,low,low,True
CANNOT IDENTIFY COUNTRY,GLOBAL,0,Entertainment,5 - 10,GLOBAL,True,False,high,99.0,0.0070385250412768,53.4,4.0,medium,low,low,False
CANNOT IDENTIFY COUNTRY,GLOBAL,0,Games,100 - 500,GLOBAL,True,False,high,0.0,0.0070385250412768,57.8,4.0,medium,low,low,False
CANNOT IDENTIFY COUNTRY,GLOBAL,2,Medical,100 - 500,GLOBAL,True,False,high,99.0,0.0070385250412768,77.56666666666666,5.0,medium,high,low,False
ADDRESS NOT LISTED IN PLAYSTORE,UG,32209,Games,1000000 - 5000000,GLOBAL,True,False,high,0.0,0.9017254886055917,70.53333333333333,4.0,medium,high,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,437,Music & Audio,10000 - 50000,tablet,True,False,high,0.0,0.0070385250412768,34.2,4.0,medium,low,low,False
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Lifestyle,10 - 50,GLOBAL,True,False,high,99.0,0.0070385250412768,96.3,0.0,medium,low,low,False
NETHERLANDS,GLOBAL,0,Lifestyle,100 - 500,GLOBAL,True,False,high,99.0,0.0070385250412768,92.76666666666664,0.0,medium,low,low,False
